,V1/V12_Voltage_0-Vmax
2021-02-16 11:00:00,403.0
2021-02-16 10:59:00,403.0
2021-02-16 10:58:00,403.0
2021-02-16 10:57:00,403.0
2021-02-16 10:56:00,403.0
2021-02-16 10:55:00,403.0
2021-02-16 10:54:00,404.0
2021-02-16 10:53:00,404.0
2021-02-16 10:52:00,403.0
2021-02-16 10:51:00,403.0
2021-02-16 10:50:00,404.0
2021-02-16 10:49:00,404.0
2021-02-16 10:48:00,404.0
2021-02-16 10:47:00,403.0
2021-02-16 10:46:00,404.0
2021-02-16 10:45:00,404.0
2021-02-16 10:44:00,402.0
2021-02-16 10:43:00,403.0
2021-02-16 10:42:00,403.0
2021-02-16 10:41:00,403.0
2021-02-16 10:40:00,403.0
2021-02-16 10:39:00,403.0
2021-02-16 10:38:00,402.0
2021-02-16 10:37:00,403.0
2021-02-16 10:36:00,402.0
2021-02-16 10:35:00,402.0
2021-02-16 10:34:00,407.0
2021-02-16 10:33:00,407.0
2021-02-16 10:32:00,407.0
2021-02-16 10:31:00,406.0
2021-02-16 10:30:00,406.0
2021-02-16 10:29:00,405.0
2021-02-16 10:28:00,405.0
2021-02-16 10:27:00,405.0
2021-02-16 10:26:00,405.0
2021-02-16 10:25:00,406.0
2021-02-16 10:24:00,406.0
2021-02-16 10:23:00,406.0
2021-02-16 10:22:00,406.0
2021-02-16 10:21:00,406.0
2021-02-16 10:20:00,406.0
2021-02-16 10:19:00,406.0
2021-02-16 10:18:00,406.0
2021-02-16 10:17:00,405.0
2021-02-16 10:16:00,405.0
2021-02-16 10:15:00,406.0
2021-02-16 10:14:00,406.0
2021-02-16 10:13:00,405.0
2021-02-16 10:12:00,405.0
2021-02-16 10:11:00,405.0
2021-02-16 10:10:00,405.0
2021-02-16 10:09:00,406.0
2021-02-16 10:08:00,406.0
2021-02-16 10:07:00,406.0
2021-02-16 10:06:00,406.0
2021-02-16 10:05:00,405.0
2021-02-16 10:04:00,407.0
2021-02-16 10:03:00,406.0
2021-02-16 10:02:00,406.0
2021-02-16 10:01:00,406.0
2021-02-16 10:00:00,406.0
