,V1/V12_Voltage_0-Vmax
2021-02-23 16:00:00,402.0
2021-02-23 15:59:00,402.0
2021-02-23 15:58:00,403.0
2021-02-23 15:57:00,403.0
2021-02-23 15:56:00,403.0
2021-02-23 15:55:00,403.0
2021-02-23 15:54:00,403.0
2021-02-23 15:53:00,402.0
2021-02-23 15:52:00,402.0
2021-02-23 15:51:00,402.0
2021-02-23 15:50:00,402.0
2021-02-23 15:49:00,402.0
2021-02-23 15:48:00,402.0
2021-02-23 15:47:00,402.0
2021-02-23 15:46:00,401.0
2021-02-23 15:45:00,402.0
2021-02-23 15:44:00,401.0
2021-02-23 15:43:00,401.0
2021-02-23 15:42:00,402.0
2021-02-23 15:41:00,402.0
2021-02-23 15:40:00,402.0
2021-02-23 15:39:00,402.0
2021-02-23 15:38:00,402.0
2021-02-23 15:37:00,402.0
2021-02-23 15:36:00,402.0
2021-02-23 15:35:00,402.0
2021-02-23 15:34:00,402.0
2021-02-23 15:33:00,402.0
2021-02-23 15:32:00,402.0
2021-02-23 15:31:00,401.0
2021-02-23 15:30:00,402.0
2021-02-23 15:29:00,402.0
2021-02-23 15:28:00,402.0
2021-02-23 15:27:00,401.0
2021-02-23 15:26:00,401.0
2021-02-23 15:25:00,401.0
2021-02-23 15:24:00,401.0
2021-02-23 15:23:00,401.0
2021-02-23 15:22:00,401.0
2021-02-23 15:21:00,401.0
2021-02-23 15:20:00,401.0
2021-02-23 15:19:00,401.0
2021-02-23 15:18:00,401.0
2021-02-23 15:17:00,401.0
2021-02-23 15:16:00,401.0
2021-02-23 15:15:00,402.0
2021-02-23 15:14:00,401.0
2021-02-23 15:13:00,402.0
2021-02-23 15:12:00,402.0
2021-02-23 15:11:00,401.0
2021-02-23 15:10:00,401.0
2021-02-23 15:09:00,401.0
2021-02-23 15:08:00,402.0
2021-02-23 15:07:00,401.0
2021-02-23 15:06:00,402.0
2021-02-23 15:05:00,402.0
2021-02-23 15:04:00,402.0
2021-02-23 15:03:00,402.0
2021-02-23 15:02:00,402.0
2021-02-23 15:01:00,402.0
2021-02-23 15:00:00,402.0
