,V1/V12_Voltage_0-Vmax
2021-02-19 14:00:00,408.0
2021-02-19 13:59:00,408.0
2021-02-19 13:58:00,408.0
2021-02-19 13:57:00,408.0
2021-02-19 13:56:00,408.0
2021-02-19 13:55:00,408.0
2021-02-19 13:54:00,408.0
2021-02-19 13:53:00,408.0
2021-02-19 13:52:00,408.0
2021-02-19 13:51:00,407.0
2021-02-19 13:50:00,407.0
2021-02-19 13:49:00,407.0
2021-02-19 13:48:00,407.0
2021-02-19 13:47:00,407.0
2021-02-19 13:46:00,407.0
2021-02-19 13:45:00,407.0
2021-02-19 13:44:00,407.0
2021-02-19 13:43:00,407.0
2021-02-19 13:42:00,407.0
2021-02-19 13:41:00,406.0
2021-02-19 13:40:00,406.0
2021-02-19 13:39:00,406.0
2021-02-19 13:38:00,406.0
2021-02-19 13:37:00,406.0
2021-02-19 13:36:00,407.0
2021-02-19 13:35:00,406.0
2021-02-19 13:34:00,406.0
2021-02-19 13:33:00,406.0
2021-02-19 13:32:00,406.0
2021-02-19 13:31:00,406.0
2021-02-19 13:30:00,406.0
2021-02-19 13:29:00,406.0
2021-02-19 13:28:00,406.0
2021-02-19 13:27:00,406.0
2021-02-19 13:26:00,405.0
2021-02-19 13:25:00,405.0
2021-02-19 13:24:00,405.0
2021-02-19 13:23:00,405.0
2021-02-19 13:22:00,405.0
2021-02-19 13:21:00,405.0
2021-02-19 13:20:00,405.0
2021-02-19 13:19:00,405.0
2021-02-19 13:18:00,405.0
2021-02-19 13:17:00,405.0
2021-02-19 13:16:00,405.0
2021-02-19 13:15:00,405.0
2021-02-19 13:14:00,405.0
2021-02-19 13:13:00,405.0
2021-02-19 13:12:00,404.0
2021-02-19 13:11:00,404.0
2021-02-19 13:10:00,404.0
2021-02-19 13:09:00,404.0
2021-02-19 13:08:00,403.0
2021-02-19 13:07:00,404.0
2021-02-19 13:06:00,404.0
2021-02-19 13:05:00,404.0
2021-02-19 13:04:00,404.0
2021-02-19 13:03:00,404.0
2021-02-19 13:02:00,403.0
2021-02-19 13:01:00,403.0
2021-02-19 13:00:00,403.0
