,V1/V12_Voltage_0-Vmax
2021-02-14 22:00:00,404.0
2021-02-14 21:59:00,404.0
2021-02-14 21:58:00,404.0
2021-02-14 21:57:00,404.0
2021-02-14 21:56:00,403.0
2021-02-14 21:55:00,404.0
2021-02-14 21:54:00,405.0
2021-02-14 21:53:00,405.0
2021-02-14 21:52:00,404.0
2021-02-14 21:51:00,403.0
2021-02-14 21:50:00,403.0
2021-02-14 21:49:00,403.0
2021-02-14 21:48:00,403.0
2021-02-14 21:47:00,403.0
2021-02-14 21:46:00,403.0
2021-02-14 21:45:00,403.0
2021-02-14 21:44:00,403.0
2021-02-14 21:43:00,404.0
2021-02-14 21:42:00,405.0
2021-02-14 21:41:00,405.0
2021-02-14 21:40:00,405.0
2021-02-14 21:39:00,405.0
2021-02-14 21:38:00,406.0
2021-02-14 21:37:00,406.0
2021-02-14 21:36:00,406.0
2021-02-14 21:35:00,406.0
2021-02-14 21:34:00,407.0
2021-02-14 21:33:00,407.0
2021-02-14 21:32:00,407.0
2021-02-14 21:31:00,407.0
2021-02-14 21:30:00,407.0
2021-02-14 21:29:00,407.0
2021-02-14 21:28:00,407.0
2021-02-14 21:27:00,407.0
2021-02-14 21:26:00,405.0
2021-02-14 21:25:00,407.0
2021-02-14 21:24:00,407.0
2021-02-14 21:23:00,405.0
2021-02-14 21:22:00,405.0
2021-02-14 21:21:00,405.0
2021-02-14 21:20:00,405.0
2021-02-14 21:19:00,405.0
2021-02-14 21:18:00,405.0
2021-02-14 21:17:00,406.0
2021-02-14 21:16:00,406.0
2021-02-14 21:15:00,406.0
2021-02-14 21:14:00,405.0
2021-02-14 21:13:00,405.0
2021-02-14 21:12:00,404.0
2021-02-14 21:11:00,404.0
2021-02-14 21:10:00,405.0
2021-02-14 21:09:00,405.0
2021-02-14 21:08:00,405.0
2021-02-14 21:07:00,404.0
2021-02-14 21:06:00,404.0
2021-02-14 21:05:00,404.0
2021-02-14 21:04:00,404.0
2021-02-14 21:03:00,404.0
2021-02-14 21:02:00,405.0
2021-02-14 21:01:00,405.0
2021-02-14 21:00:00,405.0
