,V1/V12_Voltage_0-Vmax
2021-02-15 06:00:00,408.0
2021-02-15 05:59:00,406.0
2021-02-15 05:58:00,406.0
2021-02-15 05:57:00,405.0
2021-02-15 05:56:00,405.0
2021-02-15 05:55:00,406.0
2021-02-15 05:54:00,406.0
2021-02-15 05:53:00,407.0
2021-02-15 05:52:00,406.0
2021-02-15 05:51:00,406.0
2021-02-15 05:50:00,407.0
2021-02-15 05:49:00,406.0
2021-02-15 05:48:00,406.0
2021-02-15 05:47:00,406.0
2021-02-15 05:46:00,406.0
2021-02-15 05:45:00,406.0
2021-02-15 05:44:00,407.0
2021-02-15 05:43:00,406.0
2021-02-15 05:42:00,406.0
2021-02-15 05:41:00,406.0
2021-02-15 05:40:00,406.0
2021-02-15 05:39:00,407.0
2021-02-15 05:38:00,407.0
2021-02-15 05:37:00,406.0
2021-02-15 05:36:00,406.0
2021-02-15 05:35:00,406.0
2021-02-15 05:34:00,407.0
2021-02-15 05:33:00,408.0
2021-02-15 05:32:00,408.0
2021-02-15 05:31:00,408.0
2021-02-15 05:30:00,408.0
2021-02-15 05:29:00,408.0
2021-02-15 05:28:00,408.0
2021-02-15 05:27:00,408.0
2021-02-15 05:26:00,408.0
2021-02-15 05:25:00,407.0
2021-02-15 05:24:00,408.0
2021-02-15 05:23:00,408.0
2021-02-15 05:22:00,409.0
2021-02-15 05:21:00,408.0
2021-02-15 05:20:00,408.0
2021-02-15 05:19:00,409.0
2021-02-15 05:18:00,407.0
2021-02-15 05:17:00,407.0
2021-02-15 05:16:00,407.0
2021-02-15 05:15:00,407.0
2021-02-15 05:14:00,407.0
2021-02-15 05:13:00,407.0
2021-02-15 05:12:00,407.0
2021-02-15 05:11:00,407.0
2021-02-15 05:10:00,409.0
2021-02-15 05:09:00,408.0
2021-02-15 05:08:00,408.0
2021-02-15 05:07:00,408.0
2021-02-15 05:06:00,408.0
2021-02-15 05:05:00,403.0
2021-02-15 05:04:00,405.0
2021-02-15 05:03:00,405.0
2021-02-15 05:02:00,405.0
2021-02-15 05:01:00,405.0
2021-02-15 05:00:00,404.0
