,V1/V12_Voltage_0-Vmax
2021-02-21 02:00:00,408.0
2021-02-21 01:59:00,408.0
2021-02-21 01:58:00,408.0
2021-02-21 01:57:00,408.0
2021-02-21 01:56:00,408.0
2021-02-21 01:55:00,409.0
2021-02-21 01:54:00,408.0
2021-02-21 01:53:00,408.0
2021-02-21 01:52:00,408.0
2021-02-21 01:51:00,408.0
2021-02-21 01:50:00,408.0
2021-02-21 01:49:00,408.0
2021-02-21 01:48:00,408.0
2021-02-21 01:47:00,408.0
2021-02-21 01:46:00,407.0
2021-02-21 01:45:00,407.0
2021-02-21 01:44:00,407.0
2021-02-21 01:43:00,407.0
2021-02-21 01:42:00,407.0
2021-02-21 01:41:00,407.0
2021-02-21 01:40:00,407.0
2021-02-21 01:39:00,408.0
2021-02-21 01:38:00,408.0
2021-02-21 01:37:00,407.0
2021-02-21 01:36:00,407.0
2021-02-21 01:35:00,407.0
2021-02-21 01:34:00,407.0
2021-02-21 01:33:00,407.0
2021-02-21 01:32:00,407.0
2021-02-21 01:31:00,407.0
2021-02-21 01:30:00,407.0
2021-02-21 01:29:00,407.0
2021-02-21 01:28:00,406.0
2021-02-21 01:27:00,407.0
2021-02-21 01:26:00,407.0
2021-02-21 01:25:00,0.0
2021-02-21 01:24:00,407.0
2021-02-21 01:23:00,407.0
2021-02-21 01:22:00,407.0
2021-02-21 01:21:00,409.0
2021-02-21 01:20:00,408.0
2021-02-21 01:19:00,408.0
2021-02-21 01:18:00,407.0
2021-02-21 01:17:00,408.0
2021-02-21 01:16:00,408.0
2021-02-21 01:15:00,407.0
2021-02-21 01:14:00,408.0
2021-02-21 01:13:00,408.0
2021-02-21 01:12:00,408.0
2021-02-21 01:11:00,407.0
2021-02-21 01:10:00,407.0
2021-02-21 01:09:00,407.0
2021-02-21 01:08:00,407.0
2021-02-21 01:07:00,407.0
2021-02-21 01:06:00,406.0
2021-02-21 01:05:00,406.0
2021-02-21 01:04:00,407.0
2021-02-21 01:03:00,407.0
2021-02-21 01:02:00,406.0
2021-02-21 01:01:00,407.0
2021-02-21 01:00:00,407.0
