,V1/V12_Voltage_0-Vmax
2021-02-15 10:00:00,405.0
2021-02-15 09:59:00,405.0
2021-02-15 09:58:00,405.0
2021-02-15 09:57:00,404.0
2021-02-15 09:56:00,403.0
2021-02-15 09:55:00,403.0
2021-02-15 09:54:00,403.0
2021-02-15 09:53:00,403.0
2021-02-15 09:52:00,403.0
2021-02-15 09:51:00,401.0
2021-02-15 09:50:00,401.0
2021-02-15 09:49:00,401.0
2021-02-15 09:48:00,401.0
2021-02-15 09:47:00,401.0
2021-02-15 09:46:00,403.0
2021-02-15 09:45:00,403.0
2021-02-15 09:44:00,402.0
2021-02-15 09:43:00,402.0
2021-02-15 09:42:00,402.0
2021-02-15 09:41:00,401.0
2021-02-15 09:40:00,401.0
2021-02-15 09:39:00,401.0
2021-02-15 09:38:00,402.0
2021-02-15 09:37:00,403.0
2021-02-15 09:36:00,404.0
2021-02-15 09:35:00,402.0
2021-02-15 09:34:00,402.0
2021-02-15 09:33:00,402.0
2021-02-15 09:32:00,402.0
2021-02-15 09:31:00,402.0
2021-02-15 09:30:00,403.0
2021-02-15 09:29:00,402.0
2021-02-15 09:28:00,402.0
2021-02-15 09:27:00,403.0
2021-02-15 09:26:00,404.0
2021-02-15 09:25:00,404.0
2021-02-15 09:24:00,404.0
2021-02-15 09:23:00,404.0
2021-02-15 09:22:00,404.0
2021-02-15 09:21:00,404.0
2021-02-15 09:20:00,404.0
2021-02-15 09:19:00,404.0
2021-02-15 09:18:00,405.0
2021-02-15 09:17:00,405.0
2021-02-15 09:16:00,403.0
2021-02-15 09:15:00,403.0
2021-02-15 09:14:00,403.0
2021-02-15 09:13:00,403.0
2021-02-15 09:12:00,404.0
2021-02-15 09:11:00,404.0
2021-02-15 09:10:00,404.0
2021-02-15 09:09:00,403.0
2021-02-15 09:08:00,405.0
2021-02-15 09:07:00,405.0
2021-02-15 09:06:00,405.0
2021-02-15 09:05:00,404.0
2021-02-15 09:04:00,404.0
2021-02-15 09:03:00,403.0
2021-02-15 09:02:00,404.0
2021-02-15 09:01:00,404.0
2021-02-15 09:00:00,405.0
