,V1/V12_Voltage_0-Vmax
2021-02-19 23:00:00,406.0
2021-02-19 22:59:00,407.0
2021-02-19 22:58:00,406.0
2021-02-19 22:57:00,406.0
2021-02-19 22:56:00,406.0
2021-02-19 22:55:00,406.0
2021-02-19 22:54:00,406.0
2021-02-19 22:53:00,406.0
2021-02-19 22:52:00,406.0
2021-02-19 22:51:00,407.0
2021-02-19 22:50:00,406.0
2021-02-19 22:49:00,406.0
2021-02-19 22:48:00,407.0
2021-02-19 22:47:00,406.0
2021-02-19 22:46:00,406.0
2021-02-19 22:45:00,405.0
2021-02-19 22:44:00,406.0
2021-02-19 22:43:00,406.0
2021-02-19 22:42:00,406.0
2021-02-19 22:41:00,407.0
2021-02-19 22:40:00,406.0
2021-02-19 22:39:00,406.0
2021-02-19 22:38:00,406.0
2021-02-19 22:37:00,406.0
2021-02-19 22:36:00,406.0
2021-02-19 22:35:00,406.0
2021-02-19 22:34:00,406.0
2021-02-19 22:33:00,406.0
2021-02-19 22:32:00,406.0
2021-02-19 22:31:00,405.0
2021-02-19 22:30:00,405.0
2021-02-19 22:29:00,406.0
2021-02-19 22:28:00,405.0
2021-02-19 22:27:00,405.0
2021-02-19 22:26:00,405.0
2021-02-19 22:25:00,405.0
2021-02-19 22:24:00,405.0
2021-02-19 22:23:00,405.0
2021-02-19 22:22:00,405.0
2021-02-19 22:21:00,405.0
2021-02-19 22:20:00,405.0
2021-02-19 22:19:00,405.0
2021-02-19 22:18:00,405.0
2021-02-19 22:17:00,405.0
2021-02-19 22:16:00,405.0
2021-02-19 22:15:00,405.0
2021-02-19 22:14:00,405.0
2021-02-19 22:13:00,409.0
2021-02-19 22:12:00,410.0
2021-02-19 22:11:00,410.0
2021-02-19 22:10:00,410.0
2021-02-19 22:09:00,409.0
2021-02-19 22:08:00,409.0
2021-02-19 22:07:00,409.0
2021-02-19 22:06:00,408.0
2021-02-19 22:05:00,408.0
2021-02-19 22:04:00,409.0
2021-02-19 22:03:00,408.0
2021-02-19 22:02:00,408.0
2021-02-19 22:01:00,408.0
2021-02-19 22:00:00,408.0
