,V1/V12_Voltage_0-Vmax
2021-02-20 11:00:00,405.0
2021-02-20 10:59:00,406.0
2021-02-20 10:58:00,406.0
2021-02-20 10:57:00,405.0
2021-02-20 10:56:00,405.0
2021-02-20 10:55:00,405.0
2021-02-20 10:54:00,405.0
2021-02-20 10:53:00,405.0
2021-02-20 10:52:00,405.0
2021-02-20 10:51:00,406.0
2021-02-20 10:50:00,406.0
2021-02-20 10:49:00,406.0
2021-02-20 10:48:00,405.0
2021-02-20 10:47:00,405.0
2021-02-20 10:46:00,405.0
2021-02-20 10:45:00,405.0
2021-02-20 10:44:00,405.0
2021-02-20 10:43:00,405.0
2021-02-20 10:42:00,405.0
2021-02-20 10:41:00,405.0
2021-02-20 10:40:00,405.0
2021-02-20 10:39:00,405.0
2021-02-20 10:38:00,406.0
2021-02-20 10:37:00,404.0
2021-02-20 10:36:00,404.0
2021-02-20 10:35:00,405.0
2021-02-20 10:34:00,405.0
2021-02-20 10:33:00,405.0
2021-02-20 10:32:00,405.0
2021-02-20 10:31:00,404.0
2021-02-20 10:30:00,404.0
2021-02-20 10:29:00,405.0
2021-02-20 10:28:00,405.0
2021-02-20 10:27:00,406.0
2021-02-20 10:26:00,405.0
2021-02-20 10:25:00,405.0
2021-02-20 10:24:00,405.0
2021-02-20 10:23:00,405.0
2021-02-20 10:22:00,405.0
2021-02-20 10:21:00,405.0
2021-02-20 10:20:00,406.0
2021-02-20 10:19:00,405.0
2021-02-20 10:18:00,405.0
2021-02-20 10:17:00,405.0
2021-02-20 10:16:00,405.0
2021-02-20 10:15:00,404.0
2021-02-20 10:14:00,405.0
2021-02-20 10:13:00,405.0
2021-02-20 10:12:00,405.0
2021-02-20 10:11:00,405.0
2021-02-20 10:10:00,405.0
2021-02-20 10:09:00,405.0
2021-02-20 10:08:00,405.0
2021-02-20 10:07:00,406.0
2021-02-20 10:06:00,405.0
2021-02-20 10:05:00,405.0
2021-02-20 10:04:00,405.0
2021-02-20 10:03:00,405.0
2021-02-20 10:02:00,405.0
2021-02-20 10:01:00,406.0
2021-02-20 10:00:00,406.0
