,V1/V12_Voltage_0-Vmax
2021-02-15 21:00:00,408.0
2021-02-15 20:59:00,408.0
2021-02-15 20:58:00,408.0
2021-02-15 20:57:00,408.0
2021-02-15 20:56:00,408.0
2021-02-15 20:55:00,408.0
2021-02-15 20:54:00,408.0
2021-02-15 20:53:00,408.0
2021-02-15 20:52:00,407.0
2021-02-15 20:51:00,407.0
2021-02-15 20:50:00,408.0
2021-02-15 20:49:00,407.0
2021-02-15 20:48:00,407.0
2021-02-15 20:47:00,407.0
2021-02-15 20:46:00,406.0
2021-02-15 20:45:00,407.0
2021-02-15 20:44:00,405.0
2021-02-15 20:43:00,405.0
2021-02-15 20:42:00,405.0
2021-02-15 20:41:00,406.0
2021-02-15 20:40:00,405.0
2021-02-15 20:39:00,405.0
2021-02-15 20:38:00,405.0
2021-02-15 20:37:00,405.0
2021-02-15 20:36:00,407.0
2021-02-15 20:35:00,405.0
2021-02-15 20:34:00,405.0
2021-02-15 20:33:00,404.0
2021-02-15 20:32:00,405.0
2021-02-15 20:31:00,405.0
2021-02-15 20:30:00,406.0
2021-02-15 20:29:00,406.0
2021-02-15 20:28:00,406.0
2021-02-15 20:27:00,405.0
2021-02-15 20:26:00,405.0
2021-02-15 20:25:00,404.0
2021-02-15 20:24:00,404.0
2021-02-15 20:23:00,404.0
2021-02-15 20:22:00,404.0
2021-02-15 20:21:00,404.0
2021-02-15 20:20:00,406.0
2021-02-15 20:19:00,404.0
2021-02-15 20:18:00,405.0
2021-02-15 20:17:00,405.0
2021-02-15 20:16:00,405.0
2021-02-15 20:15:00,405.0
2021-02-15 20:14:00,405.0
2021-02-15 20:13:00,405.0
2021-02-15 20:12:00,405.0
2021-02-15 20:11:00,405.0
2021-02-15 20:10:00,405.0
2021-02-15 20:09:00,405.0
2021-02-15 20:08:00,406.0
2021-02-15 20:07:00,406.0
2021-02-15 20:06:00,406.0
2021-02-15 20:05:00,406.0
2021-02-15 20:04:00,406.0
2021-02-15 20:03:00,406.0
2021-02-15 20:02:00,406.0
2021-02-15 20:01:00,405.0
2021-02-15 20:00:00,404.0
