,V1/V12_Voltage_0-Vmax
2021-02-17 13:00:00,403.0
2021-02-17 12:59:00,403.0
2021-02-17 12:58:00,403.0
2021-02-17 12:57:00,403.0
2021-02-17 12:56:00,402.0
2021-02-17 12:55:00,402.0
2021-02-17 12:54:00,402.0
2021-02-17 12:53:00,401.0
2021-02-17 12:52:00,402.0
2021-02-17 12:51:00,402.0
2021-02-17 12:50:00,402.0
2021-02-17 12:49:00,402.0
2021-02-17 12:48:00,402.0
2021-02-17 12:47:00,402.0
2021-02-17 12:46:00,402.0
2021-02-17 12:45:00,402.0
2021-02-17 12:44:00,402.0
2021-02-17 12:43:00,403.0
2021-02-17 12:42:00,402.0
2021-02-17 12:41:00,402.0
2021-02-17 12:40:00,402.0
2021-02-17 12:39:00,402.0
2021-02-17 12:38:00,402.0
2021-02-17 12:37:00,402.0
2021-02-17 12:36:00,402.0
2021-02-17 12:35:00,402.0
2021-02-17 12:34:00,402.0
2021-02-17 12:33:00,402.0
2021-02-17 12:32:00,402.0
2021-02-17 12:31:00,402.0
2021-02-17 12:30:00,402.0
2021-02-17 12:29:00,401.0
2021-02-17 12:28:00,401.0
2021-02-17 12:27:00,402.0
2021-02-17 12:26:00,401.0
2021-02-17 12:25:00,402.0
2021-02-17 12:24:00,402.0
2021-02-17 12:23:00,401.0
2021-02-17 12:22:00,402.0
2021-02-17 12:21:00,402.0
2021-02-17 12:20:00,402.0
2021-02-17 12:19:00,402.0
2021-02-17 12:18:00,402.0
2021-02-17 12:17:00,402.0
2021-02-17 12:16:00,402.0
2021-02-17 12:15:00,402.0
2021-02-17 12:14:00,402.0
2021-02-17 12:13:00,402.0
2021-02-17 12:12:00,407.0
2021-02-17 12:11:00,406.0
2021-02-17 12:10:00,407.0
2021-02-17 12:09:00,407.0
2021-02-17 12:08:00,407.0
2021-02-17 12:07:00,407.0
2021-02-17 12:06:00,406.0
2021-02-17 12:05:00,407.0
2021-02-17 12:04:00,407.0
2021-02-17 12:03:00,406.0
2021-02-17 12:02:00,406.0
2021-02-17 12:01:00,407.0
2021-02-17 12:00:00,405.0
