,V1/V12_Voltage_0-Vmax
2021-02-21 17:00:00,402.0
2021-02-21 16:59:00,402.0
2021-02-21 16:58:00,403.0
2021-02-21 16:57:00,403.0
2021-02-21 16:56:00,403.0
2021-02-21 16:55:00,402.0
2021-02-21 16:54:00,402.0
2021-02-21 16:53:00,402.0
2021-02-21 16:52:00,402.0
2021-02-21 16:51:00,403.0
2021-02-21 16:50:00,403.0
2021-02-21 16:49:00,403.0
2021-02-21 16:48:00,402.0
2021-02-21 16:47:00,402.0
2021-02-21 16:46:00,403.0
2021-02-21 16:45:00,404.0
2021-02-21 16:44:00,403.0
2021-02-21 16:43:00,404.0
2021-02-21 16:42:00,404.0
2021-02-21 16:41:00,404.0
2021-02-21 16:40:00,404.0
2021-02-21 16:39:00,404.0
2021-02-21 16:38:00,403.0
2021-02-21 16:37:00,404.0
2021-02-21 16:36:00,403.0
2021-02-21 16:35:00,404.0
2021-02-21 16:34:00,404.0
2021-02-21 16:33:00,404.0
2021-02-21 16:32:00,404.0
2021-02-21 16:31:00,404.0
2021-02-21 16:30:00,404.0
2021-02-21 16:29:00,404.0
2021-02-21 16:28:00,404.0
2021-02-21 16:27:00,404.0
2021-02-21 16:26:00,404.0
2021-02-21 16:25:00,403.0
2021-02-21 16:24:00,403.0
2021-02-21 16:23:00,405.0
2021-02-21 16:22:00,405.0
2021-02-21 16:21:00,404.0
2021-02-21 16:20:00,405.0
2021-02-21 16:19:00,404.0
2021-02-21 16:18:00,404.0
2021-02-21 16:17:00,404.0
2021-02-21 16:16:00,404.0
2021-02-21 16:15:00,404.0
2021-02-21 16:14:00,404.0
2021-02-21 16:13:00,405.0
2021-02-21 16:12:00,405.0
2021-02-21 16:11:00,405.0
2021-02-21 16:10:00,405.0
2021-02-21 16:09:00,405.0
2021-02-21 16:08:00,404.0
2021-02-21 16:07:00,404.0
2021-02-21 16:06:00,404.0
2021-02-21 16:05:00,404.0
2021-02-21 16:04:00,404.0
2021-02-21 16:03:00,404.0
2021-02-21 16:02:00,405.0
2021-02-21 16:01:00,405.0
2021-02-21 16:00:00,405.0
