,V1/V12_Voltage_0-Vmax
2021-02-21 16:00:00,405.0
2021-02-21 15:59:00,405.0
2021-02-21 15:58:00,405.0
2021-02-21 15:57:00,405.0
2021-02-21 15:56:00,406.0
2021-02-21 15:55:00,405.0
2021-02-21 15:54:00,405.0
2021-02-21 15:53:00,405.0
2021-02-21 15:52:00,405.0
2021-02-21 15:51:00,405.0
2021-02-21 15:50:00,405.0
2021-02-21 15:49:00,404.0
2021-02-21 15:48:00,404.0
2021-02-21 15:47:00,404.0
2021-02-21 15:46:00,404.0
2021-02-21 15:45:00,403.0
2021-02-21 15:44:00,403.0
2021-02-21 15:43:00,403.0
2021-02-21 15:42:00,403.0
2021-02-21 15:41:00,403.0
2021-02-21 15:40:00,404.0
2021-02-21 15:39:00,403.0
2021-02-21 15:38:00,403.0
2021-02-21 15:37:00,404.0
2021-02-21 15:36:00,404.0
2021-02-21 15:35:00,403.0
2021-02-21 15:34:00,403.0
2021-02-21 15:33:00,403.0
2021-02-21 15:32:00,403.0
2021-02-21 15:31:00,402.0
2021-02-21 15:30:00,403.0
2021-02-21 15:29:00,403.0
2021-02-21 15:28:00,403.0
2021-02-21 15:27:00,404.0
2021-02-21 15:26:00,404.0
2021-02-21 15:25:00,403.0
2021-02-21 15:24:00,403.0
2021-02-21 15:23:00,402.0
2021-02-21 15:22:00,402.0
2021-02-21 15:21:00,403.0
2021-02-21 15:20:00,402.0
2021-02-21 15:19:00,402.0
2021-02-21 15:18:00,402.0
2021-02-21 15:17:00,403.0
2021-02-21 15:16:00,403.0
2021-02-21 15:15:00,404.0
2021-02-21 15:14:00,403.0
2021-02-21 15:13:00,403.0
2021-02-21 15:12:00,404.0
2021-02-21 15:11:00,404.0
2021-02-21 15:10:00,404.0
2021-02-21 15:09:00,404.0
2021-02-21 15:08:00,403.0
2021-02-21 15:07:00,404.0
2021-02-21 15:06:00,404.0
2021-02-21 15:05:00,404.0
2021-02-21 15:04:00,403.0
2021-02-21 15:03:00,403.0
2021-02-21 15:02:00,403.0
2021-02-21 15:01:00,403.0
2021-02-21 15:00:00,403.0
