,V1/V12_Voltage_0-Vmax
2021-02-15 05:00:00,404.0
2021-02-15 04:59:00,404.0
2021-02-15 04:58:00,404.0
2021-02-15 04:57:00,404.0
2021-02-15 04:56:00,405.0
2021-02-15 04:55:00,404.0
2021-02-15 04:54:00,404.0
2021-02-15 04:53:00,406.0
2021-02-15 04:52:00,406.0
2021-02-15 04:51:00,404.0
2021-02-15 04:50:00,404.0
2021-02-15 04:49:00,404.0
2021-02-15 04:48:00,406.0
2021-02-15 04:47:00,405.0
2021-02-15 04:46:00,406.0
2021-02-15 04:45:00,405.0
2021-02-15 04:44:00,405.0
2021-02-15 04:43:00,406.0
2021-02-15 04:42:00,406.0
2021-02-15 04:41:00,405.0
2021-02-15 04:40:00,406.0
2021-02-15 04:39:00,406.0
2021-02-15 04:38:00,406.0
2021-02-15 04:37:00,406.0
2021-02-15 04:36:00,407.0
2021-02-15 04:35:00,407.0
2021-02-15 04:34:00,407.0
2021-02-15 04:33:00,406.0
2021-02-15 04:32:00,407.0
2021-02-15 04:31:00,407.0
2021-02-15 04:30:00,407.0
2021-02-15 04:29:00,407.0
2021-02-15 04:28:00,407.0
2021-02-15 04:27:00,407.0
2021-02-15 04:26:00,407.0
2021-02-15 04:25:00,407.0
2021-02-15 04:24:00,407.0
2021-02-15 04:23:00,405.0
2021-02-15 04:22:00,405.0
2021-02-15 04:21:00,405.0
2021-02-15 04:20:00,405.0
2021-02-15 04:19:00,405.0
2021-02-15 04:18:00,405.0
2021-02-15 04:17:00,405.0
2021-02-15 04:16:00,407.0
2021-02-15 04:15:00,405.0
2021-02-15 04:14:00,405.0
2021-02-15 04:13:00,406.0
2021-02-15 04:12:00,405.0
2021-02-15 04:11:00,405.0
2021-02-15 04:10:00,407.0
2021-02-15 04:09:00,407.0
2021-02-15 04:08:00,406.0
2021-02-15 04:07:00,405.0
2021-02-15 04:06:00,406.0
2021-02-15 04:05:00,405.0
2021-02-15 04:04:00,406.0
2021-02-15 04:03:00,406.0
2021-02-15 04:02:00,407.0
2021-02-15 04:01:00,407.0
2021-02-15 04:00:00,406.0
