,V1/V12_Voltage_0-Vmax
2021-02-17 07:00:00,407.0
2021-02-17 06:59:00,407.0
2021-02-17 06:58:00,406.0
2021-02-17 06:57:00,406.0
2021-02-17 06:56:00,406.0
2021-02-17 06:55:00,406.0
2021-02-17 06:54:00,406.0
2021-02-17 06:53:00,406.0
2021-02-17 06:52:00,406.0
2021-02-17 06:51:00,407.0
2021-02-17 06:50:00,407.0
2021-02-17 06:49:00,408.0
2021-02-17 06:48:00,407.0
2021-02-17 06:47:00,407.0
2021-02-17 06:46:00,407.0
2021-02-17 06:45:00,407.0
2021-02-17 06:44:00,403.0
2021-02-17 06:43:00,404.0
2021-02-17 06:42:00,404.0
2021-02-17 06:41:00,403.0
2021-02-17 06:40:00,404.0
2021-02-17 06:39:00,403.0
2021-02-17 06:38:00,403.0
2021-02-17 06:37:00,404.0
2021-02-17 06:36:00,404.0
2021-02-17 06:35:00,405.0
2021-02-17 06:34:00,405.0
2021-02-17 06:33:00,405.0
2021-02-17 06:32:00,404.0
2021-02-17 06:31:00,404.0
2021-02-17 06:30:00,404.0
2021-02-17 06:29:00,404.0
2021-02-17 06:28:00,405.0
2021-02-17 06:27:00,405.0
2021-02-17 06:26:00,405.0
2021-02-17 06:25:00,405.0
2021-02-17 06:24:00,405.0
2021-02-17 06:23:00,405.0
2021-02-17 06:22:00,406.0
2021-02-17 06:21:00,406.0
2021-02-17 06:20:00,405.0
2021-02-17 06:19:00,406.0
2021-02-17 06:18:00,405.0
2021-02-17 06:17:00,405.0
2021-02-17 06:16:00,405.0
2021-02-17 06:15:00,405.0
2021-02-17 06:14:00,406.0
2021-02-17 06:13:00,406.0
2021-02-17 06:12:00,405.0
2021-02-17 06:11:00,405.0
2021-02-17 06:10:00,406.0
2021-02-17 06:09:00,405.0
2021-02-17 06:08:00,406.0
2021-02-17 06:07:00,406.0
2021-02-17 06:06:00,406.0
2021-02-17 06:05:00,406.0
2021-02-17 06:04:00,406.0
2021-02-17 06:03:00,407.0
2021-02-17 06:02:00,406.0
2021-02-17 06:01:00,406.0
2021-02-17 06:00:00,406.0
