,V1/V12_Voltage_0-Vmax
2021-02-17 08:00:00,406.0
2021-02-17 07:59:00,406.0
2021-02-17 07:58:00,406.0
2021-02-17 07:57:00,406.0
2021-02-17 07:56:00,405.0
2021-02-17 07:55:00,406.0
2021-02-17 07:54:00,406.0
2021-02-17 07:53:00,405.0
2021-02-17 07:52:00,405.0
2021-02-17 07:51:00,406.0
2021-02-17 07:50:00,406.0
2021-02-17 07:49:00,406.0
2021-02-17 07:48:00,404.0
2021-02-17 07:47:00,406.0
2021-02-17 07:46:00,406.0
2021-02-17 07:45:00,406.0
2021-02-17 07:44:00,406.0
2021-02-17 07:43:00,406.0
2021-02-17 07:42:00,406.0
2021-02-17 07:41:00,405.0
2021-02-17 07:40:00,406.0
2021-02-17 07:39:00,406.0
2021-02-17 07:38:00,406.0
2021-02-17 07:37:00,406.0
2021-02-17 07:36:00,406.0
2021-02-17 07:35:00,406.0
2021-02-17 07:34:00,406.0
2021-02-17 07:33:00,406.0
2021-02-17 07:32:00,406.0
2021-02-17 07:31:00,406.0
2021-02-17 07:30:00,406.0
2021-02-17 07:29:00,405.0
2021-02-17 07:28:00,405.0
2021-02-17 07:27:00,405.0
2021-02-17 07:26:00,405.0
2021-02-17 07:25:00,405.0
2021-02-17 07:24:00,405.0
2021-02-17 07:23:00,405.0
2021-02-17 07:22:00,406.0
2021-02-17 07:21:00,406.0
2021-02-17 07:20:00,405.0
2021-02-17 07:19:00,405.0
2021-02-17 07:18:00,405.0
2021-02-17 07:17:00,405.0
2021-02-17 07:16:00,405.0
2021-02-17 07:15:00,404.0
2021-02-17 07:14:00,405.0
2021-02-17 07:13:00,405.0
2021-02-17 07:12:00,405.0
2021-02-17 07:11:00,405.0
2021-02-17 07:10:00,405.0
2021-02-17 07:09:00,405.0
2021-02-17 07:08:00,406.0
2021-02-17 07:07:00,406.0
2021-02-17 07:06:00,406.0
2021-02-17 07:05:00,405.0
2021-02-17 07:04:00,406.0
2021-02-17 07:03:00,406.0
2021-02-17 07:02:00,406.0
2021-02-17 07:01:00,406.0
2021-02-17 07:00:00,407.0
