,V1/V12_Voltage_0-Vmax
2021-02-19 06:00:00,409.0
2021-02-19 05:59:00,404.0
2021-02-19 05:58:00,404.0
2021-02-19 05:57:00,404.0
2021-02-19 05:56:00,405.0
2021-02-19 05:55:00,405.0
2021-02-19 05:54:00,404.0
2021-02-19 05:53:00,404.0
2021-02-19 05:52:00,404.0
2021-02-19 05:51:00,404.0
2021-02-19 05:50:00,404.0
2021-02-19 05:49:00,405.0
2021-02-19 05:48:00,405.0
2021-02-19 05:47:00,405.0
2021-02-19 05:46:00,405.0
2021-02-19 05:45:00,405.0
2021-02-19 05:44:00,405.0
2021-02-19 05:43:00,404.0
2021-02-19 05:42:00,405.0
2021-02-19 05:41:00,405.0
2021-02-19 05:40:00,405.0
2021-02-19 05:39:00,405.0
2021-02-19 05:38:00,404.0
2021-02-19 05:37:00,404.0
2021-02-19 05:36:00,404.0
2021-02-19 05:35:00,405.0
2021-02-19 05:34:00,404.0
2021-02-19 05:33:00,406.0
2021-02-19 05:32:00,406.0
2021-02-19 05:31:00,406.0
2021-02-19 05:30:00,405.0
2021-02-19 05:29:00,406.0
2021-02-19 05:28:00,406.0
2021-02-19 05:27:00,406.0
2021-02-19 05:26:00,406.0
2021-02-19 05:25:00,406.0
2021-02-19 05:24:00,406.0
2021-02-19 05:23:00,405.0
2021-02-19 05:22:00,405.0
2021-02-19 05:21:00,405.0
2021-02-19 05:20:00,405.0
2021-02-19 05:19:00,405.0
2021-02-19 05:18:00,405.0
2021-02-19 05:17:00,405.0
2021-02-19 05:16:00,405.0
2021-02-19 05:15:00,405.0
2021-02-19 05:14:00,405.0
2021-02-19 05:13:00,406.0
2021-02-19 05:12:00,406.0
2021-02-19 05:11:00,405.0
2021-02-19 05:10:00,405.0
2021-02-19 05:09:00,406.0
2021-02-19 05:08:00,406.0
2021-02-19 05:07:00,406.0
2021-02-19 05:06:00,406.0
2021-02-19 05:05:00,406.0
2021-02-19 05:04:00,405.0
2021-02-19 05:03:00,406.0
2021-02-19 05:02:00,405.0
2021-02-19 05:01:00,406.0
2021-02-19 05:00:00,406.0
