,V1/V12_Voltage_0-Vmax
2021-02-18 08:00:00,401.0
2021-02-18 07:59:00,401.0
2021-02-18 07:58:00,401.0
2021-02-18 07:57:00,401.0
2021-02-18 07:56:00,401.0
2021-02-18 07:55:00,401.0
2021-02-18 07:54:00,401.0
2021-02-18 07:53:00,400.0
2021-02-18 07:52:00,402.0
2021-02-18 07:51:00,401.0
2021-02-18 07:50:00,401.0
2021-02-18 07:49:00,401.0
2021-02-18 07:48:00,401.0
2021-02-18 07:47:00,401.0
2021-02-18 07:46:00,401.0
2021-02-18 07:45:00,402.0
2021-02-18 07:44:00,402.0
2021-02-18 07:43:00,402.0
2021-02-18 07:42:00,402.0
2021-02-18 07:41:00,401.0
2021-02-18 07:40:00,401.0
2021-02-18 07:39:00,401.0
2021-02-18 07:38:00,401.0
2021-02-18 07:37:00,402.0
2021-02-18 07:36:00,402.0
2021-02-18 07:35:00,401.0
2021-02-18 07:34:00,401.0
2021-02-18 07:33:00,401.0
2021-02-18 07:32:00,401.0
2021-02-18 07:31:00,401.0
2021-02-18 07:30:00,402.0
2021-02-18 07:29:00,402.0
2021-02-18 07:28:00,402.0
2021-02-18 07:27:00,403.0
2021-02-18 07:26:00,403.0
2021-02-18 07:25:00,404.0
2021-02-18 07:24:00,402.0
2021-02-18 07:23:00,402.0
2021-02-18 07:22:00,402.0
2021-02-18 07:21:00,402.0
2021-02-18 07:20:00,402.0
2021-02-18 07:19:00,403.0
2021-02-18 07:18:00,403.0
2021-02-18 07:17:00,402.0
2021-02-18 07:16:00,403.0
2021-02-18 07:15:00,403.0
2021-02-18 07:14:00,403.0
2021-02-18 07:13:00,403.0
2021-02-18 07:12:00,403.0
2021-02-18 07:11:00,403.0
2021-02-18 07:10:00,403.0
2021-02-18 07:09:00,403.0
2021-02-18 07:08:00,404.0
2021-02-18 07:07:00,404.0
2021-02-18 07:06:00,404.0
2021-02-18 07:05:00,404.0
2021-02-18 07:04:00,404.0
2021-02-18 07:03:00,404.0
2021-02-18 07:02:00,404.0
2021-02-18 07:01:00,406.0
2021-02-18 07:00:00,405.0
