,V1/V12_Voltage_0-Vmax
2021-02-16 09:00:00,404.0
2021-02-16 08:59:00,404.0
2021-02-16 08:58:00,404.0
2021-02-16 08:57:00,404.0
2021-02-16 08:56:00,404.0
2021-02-16 08:55:00,404.0
2021-02-16 08:54:00,404.0
2021-02-16 08:53:00,404.0
2021-02-16 08:52:00,404.0
2021-02-16 08:51:00,404.0
2021-02-16 08:50:00,404.0
2021-02-16 08:49:00,404.0
2021-02-16 08:48:00,404.0
2021-02-16 08:47:00,404.0
2021-02-16 08:46:00,404.0
2021-02-16 08:45:00,404.0
2021-02-16 08:44:00,404.0
2021-02-16 08:43:00,404.0
2021-02-16 08:42:00,404.0
2021-02-16 08:41:00,404.0
2021-02-16 08:40:00,405.0
2021-02-16 08:39:00,405.0
2021-02-16 08:38:00,405.0
2021-02-16 08:37:00,405.0
2021-02-16 08:36:00,404.0
2021-02-16 08:35:00,405.0
2021-02-16 08:34:00,405.0
2021-02-16 08:33:00,404.0
2021-02-16 08:32:00,404.0
2021-02-16 08:31:00,405.0
2021-02-16 08:30:00,405.0
2021-02-16 08:29:00,405.0
2021-02-16 08:28:00,405.0
2021-02-16 08:27:00,405.0
2021-02-16 08:26:00,405.0
2021-02-16 08:25:00,405.0
2021-02-16 08:24:00,405.0
2021-02-16 08:23:00,405.0
2021-02-16 08:22:00,404.0
2021-02-16 08:21:00,404.0
2021-02-16 08:20:00,405.0
2021-02-16 08:19:00,406.0
2021-02-16 08:18:00,405.0
2021-02-16 08:17:00,405.0
2021-02-16 08:16:00,406.0
2021-02-16 08:15:00,406.0
2021-02-16 08:14:00,406.0
2021-02-16 08:13:00,406.0
2021-02-16 08:12:00,406.0
2021-02-16 08:11:00,406.0
2021-02-16 08:10:00,406.0
2021-02-16 08:09:00,407.0
2021-02-16 08:08:00,406.0
2021-02-16 08:07:00,406.0
2021-02-16 08:06:00,406.0
2021-02-16 08:05:00,406.0
2021-02-16 08:04:00,406.0
2021-02-16 08:03:00,406.0
2021-02-16 08:02:00,407.0
2021-02-16 08:01:00,406.0
2021-02-16 08:00:00,407.0
