,V1/V12_Voltage_0-Vmax
2021-02-22 02:00:00,407.0
2021-02-22 01:59:00,407.0
2021-02-22 01:58:00,407.0
2021-02-22 01:57:00,408.0
2021-02-22 01:56:00,408.0
2021-02-22 01:55:00,408.0
2021-02-22 01:54:00,408.0
2021-02-22 01:53:00,408.0
2021-02-22 01:52:00,408.0
2021-02-22 01:51:00,407.0
2021-02-22 01:50:00,407.0
2021-02-22 01:49:00,407.0
2021-02-22 01:48:00,407.0
2021-02-22 01:47:00,406.0
2021-02-22 01:46:00,407.0
2021-02-22 01:45:00,407.0
2021-02-22 01:44:00,408.0
2021-02-22 01:43:00,407.0
2021-02-22 01:42:00,407.0
2021-02-22 01:41:00,407.0
2021-02-22 01:40:00,408.0
2021-02-22 01:39:00,407.0
2021-02-22 01:38:00,408.0
2021-02-22 01:37:00,408.0
2021-02-22 01:36:00,407.0
2021-02-22 01:35:00,407.0
2021-02-22 01:34:00,407.0
2021-02-22 01:33:00,406.0
2021-02-22 01:32:00,407.0
2021-02-22 01:31:00,407.0
2021-02-22 01:30:00,406.0
2021-02-22 01:29:00,406.0
2021-02-22 01:28:00,406.0
2021-02-22 01:27:00,406.0
2021-02-22 01:26:00,406.0
2021-02-22 01:25:00,406.0
2021-02-22 01:24:00,406.0
2021-02-22 01:23:00,406.0
2021-02-22 01:22:00,406.0
2021-02-22 01:21:00,406.0
2021-02-22 01:20:00,406.0
2021-02-22 01:19:00,406.0
2021-02-22 01:18:00,406.0
2021-02-22 01:17:00,407.0
2021-02-22 01:16:00,406.0
2021-02-22 01:15:00,405.0
2021-02-22 01:14:00,405.0
2021-02-22 01:13:00,405.0
2021-02-22 01:12:00,405.0
2021-02-22 01:11:00,405.0
2021-02-22 01:10:00,406.0
2021-02-22 01:09:00,410.0
2021-02-22 01:08:00,410.0
2021-02-22 01:07:00,409.0
2021-02-22 01:06:00,409.0
2021-02-22 01:05:00,409.0
2021-02-22 01:04:00,409.0
2021-02-22 01:03:00,409.0
2021-02-22 01:02:00,409.0
2021-02-22 01:01:00,409.0
2021-02-22 01:00:00,409.0
